District,Deaths,Seriously Injured,Slightly Injured,Missing,Population at 1945
hokkaido,835,339,245,20,3256157
aomori,931,407,483,0,1009104
iwate,688,70,594,10,1104049
miyagi,1170,366,1570,82,1048769
akita,73,9,0,0,1083569
yamagata,16,3,34,0,1599392
fukushima,783,262,150,66,1656678
tochigi,543,286,895,0,1203679
gunma,1109,514,1024,0,1319517
saitama,713,452,503,8,1647625
chiba,1719,959,950,44,1659345
tokyo,97031,56629,52938,6034,7271001
kanagawa,6637,16202,0,0,2474354
nigata,1188,397,75,0,1994817
ishikawa,35,16,9,0,743672
yamanashi,1027,186,899,0,634897
nagano,32,26,20,0,1650511
shizuoka,6473,2689,7129,10,2027856
aichi,11324,3913,11652,231,3280206
mie,3600,1415,2324,0,1209266
shiga,101,27,52,7,691972
kyoto,111,97,173,0,1635528
osaka,11089,8866,19481,0,4412953
nara,68,90,32,0,606789
wakayama,1806,1324,3931,5,847388
okayama,1782,966,158,127,1333300
hiroshima,86141,11131,35541,14349,1962950
tokushima_kochi,1228,699,1566,493,1357368
kagawa,927,1034,0,186,1396313
ehime,1346,967,1252,0,1186491
nagasaki,26238,30400,10713,1947,1490890
kumamoto,1008,391,633,15,1371005
oita,550,112,409,16,973707
miyazaki,708,170,389,0,839556
kagoshima,3719,1182,1037,48,1594009
okinawa,94000,,,,590480
